ProductionVolume,ProductionCost,SupplierQuality,DeliveryDelay,DefectRate,QualityScore,MaintenanceHours,DowntimePercentage,InventoryTurnover,StockoutRate,WorkerProductivity,SafetyIncidents,EnergyConsumption,EnergyEfficiency,AdditiveProcessTime,AdditiveMaterialCost,DefectStatus
202,13175.403783454100,86.6485338434873,1,3.121492266688970,63.46349432717400,9,0.05234286658251320,8.630515349694400,0.08132168068956510,85.0423792820698,0,2419.6167853897300,0.4689466237325200,5.551638989779320,236.4393009685120,1
535,19770.046092867600,86.3106636132627,4,0.8195305110016480,83.69781763161660,20,4.908328249649530,9.296598088201090,0.03848646964621690,99.65744298305940,7,3915.566712518910,0.11948455827101700,9.080753556517900,353.95763117070100,1
960,19060.820997456800,82.13247237873200,0,4.514504070609870,90.3505500280751,1,2.464922789091980,5.097485700889170,0.002887365066928010,92.81926429207660,2,3392.3853619070100,0.4963915263771470,6.562827271335980,396.1894020789740,1
370,5647.606036955180,87.33596641292540,5,0.6385239600693810,67.62869012018980,8,4.692475791653860,3.5776159908082700,0.05533097122982640,96.88701345693420,8,4652.400275208080,0.18312508808080300,8.097495649797910,164.13586993599600,1
206,7472.222235941560,81.9898933774593,3,3.867783602943840,82.72833363149960,9,2.7467261691752600,6.851709481404520,0.06804713889235280,88.31555363943430,7,1581.6303322233600,0.26350694415960400,6.406154013365930,365.70896355524700,1
171,6975.931601818430,95.33191889424100,1,3.914573642169410,92.56843593531470,19,3.0273243011114400,7.930009365731900,0.07406949453360070,87.07911774289640,7,1238.994421294100,0.11802052326628700,7.279442018854670,171.7118038606050,1
800,15889.698649779400,99.32548595496370,3,4.788999883768690,90.72991110585270,10,3.5595612795198600,3.0468885305972800,0.0401924954309284,91.06315789762190,8,3138.4311499645100,0.3339128812432130,4.89166883913966,188.72773739599300,1
120,17266.77994785420,99.40148913333410,4,0.7436048378104430,92.11968071468610,13,1.6048786683220300,8.380972117476270,0.009701963149240060,88.70556885253280,3,1004.1085544431400,0.29342210616039700,9.333834716873660,312.526896112006,1
714,8202.670494660080,97.30142198750790,5,3.185855873530210,95.17293699478880,2,3.494919803375170,3.6687465601004600,0.05843264344633860,94.29896110273590,4,4150.875772539860,0.366682813893912,5.517451183952450,215.68092079043000,1
221,12587.790394277400,92.01584298679240,2,2.4252825678217400,97.5072840863788,0,2.6339595492569200,5.93341834326768,0.03295478852381820,85.3163618042359,6,3023.8915547400400,0.31707125091658900,5.965972023040870,364.6381764945950,0
566,17610.545420168,94.0173139448776,3,1.9878482968679400,76.22084620814140,6,3.3623997479125300,8.851859599025220,0.0946887482274853,88.99182062184800,1,2952.2623042315700,0.2592711138588280,5.724689529293650,482.3106496966150,0
314,15992.023171493800,85.70411605360830,0,0.9064335213458290,82.75076410091510,3,4.1791663045492000,3.5473960883415400,0.050271210806132800,97.9026549458812,6,2449.9839148967000,0.39510267912466800,3.845701181484270,159.55688053495800,0
430,13133.558082377700,92.61540840345240,1,3.0319435385208900,91.62638104182440,6,0.9211456513599200,3.9350771838623,0.047226604679897900,95.12215800686660,2,2499.89534459505,0.1100084511147830,3.0811459203926700,328.2043329237670,1
558,13855.215356881600,89.11299098879760,0,2.655683265535760,87.88559255783130,15,3.0677545516788000,2.502169251993530,0.03092095323183570,83.36140330035790,5,2724.5347130026200,0.31641160834983800,1.6645146770400000,469.3196730692770,1
187,12625.408203744200,89.64034679553870,3,0.9704950616796090,99.82080913057520,9,0.2605566430491830,3.1729128942650400,0.033878650538354800,97.73729658783200,5,1064.1293777041200,0.14555048153160400,7.463574838022940,170.61159066064500,0
472,9463.226769782310,95.15553120750320,5,3.2562027819368800,60.54710604418580,14,0.5105754447451840,3.1722065582509500,0.05127547840799120,91.78033180890380,5,1334.1831488648200,0.2744033332343330,3.603477368533340,246.74036135394300,1
199,13475.329892885200,85.63836711194500,2,3.820789041138220,74.20532861263160,15,3.372971178677940,3.6274200172331,0.03066647953149950,93.58574366544970,9,3020.192080044950,0.4164501267432070,4.5027816687604600,149.44673399591500,1
971,15333.27953075140,86.3607922338904,2,3.952752354741420,71.2411170508081,5,0.3546882590415970,4.289603176519870,0.08923048843684120,85.88513131698530,1,1600.4890608792200,0.15698429850416000,9.279353464535910,356.8150873255790,1
763,18099.843737912100,98.49283582257270,0,4.574179347180920,70.49263400662140,3,2.976788899069870,8.519866915828330,0.04390179324291090,88.83088527271320,8,4115.050433387990,0.4743241395089940,6.098026144706860,367.6571710778810,1
230,14544.37030968870,81.12448589701940,4,2.3426183384995000,68.90119129995540,3,1.1000629932569300,9.32611091344894,0.029202208401302400,96.13624957812500,7,2097.940696018100,0.45540187695656200,1.8737025751354400,365.67292777425500,1
